"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"festival",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"fillings",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"give",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"glutinous",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"guilty",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"healthier",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"help",0,0,0,0,0,0.0490073466865133,0,0,0,0,0,0,0,0,0,0,0.0164226746875018
"indulging",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"into",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"july",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"leaves",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"now",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"nutritious",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"period",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"races",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"reduce",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"rice",0,0,0,0,0,0.129760725119058,0,0,0,0,0,0,0,0,0,0,0
"risk",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"stuffed",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"there",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"try",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"tuck",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"wrapped",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"zhang",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"approach",0,0,0,0,0,0,0.056770317239588,0,0,0,0,0,0,0,0,0,0
"becoming",0,0,0,0,0,0,0.056770317239588,0,0,0,0,0,0,0,0,0,0
"child",0,0,0,0,0,0,0.056770317239588,0,0,0,0,0,0,0,0,0,0
"children",0,0,0,0,0,0,0.113540634479176,0,0,0,0,0,0,0,0,0,0
"dad",0,0,0,0,0,0,0.113540634479176,0,0,0,0,0,0,0,0,0,0
"daunting",0,0,0,0,0,0,0.056770317239588,0,0,0,0,0,0,0,0,0,0
"days",0,0,0,0,0,0,0.056770317239588,0,0,0,0,0,0,0,0,0,0
"different",0,0,0,0,0,0,0.056770317239588,0,0,0,0,0,0,0,0,0,0
"every",0,0,0,0,0,0,0.056770317239588,0,0,0,0,0,0,0,0,0,0
"father",0,0,0,0,0,0,0.056770317239588,0,0,0,0,0,0,0,0,0,0
"fatherhood",0,0,0,0,0,0,0.056770317239588,0,0,0,0,0,0,0,0,0,0
"fathers",0,0,0,0,0,0,0.113540634479176,0,0,0,0,0,0,0,0,0,0
"glad",0,0,0,0,0,0,0.0428814283506992,0,0,0,0,0,0.0490073466865133,0,0,0,0
"grow",0,0,0,0,0,0,0.056770317239588,0,0,0,0,0,0,0,0,0,0
"guiding",0,0,0,0,0,0,0.056770317239588,0,0,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0.056770317239588,0,0,0,0,0,0,0,0,0,0
"involved",0,0,0,0,0,0,0.056770317239588,0,0,0,0,0,0,0,0,0,0
"key",0,0,0,0,0,0,0.056770317239588,0,0,0,0,0,0,0,0,0,0
"life",0,0,0,0,0,0,0.113540634479176,0,0,0,0,0,0,0,0,0,0
"mans",0,0,0,0,0,0,0.056770317239588,0,0,0,0,0,0,0,0,0,0
"may",0,0,0,0,0,0,0.0428814283506992,0,0,0,0,0,0,0,0,0,0.0164226746875018
"moments",0,0,0,0,0,0,0.056770317239588,0,0,0,0,0,0,0,0,0,0
"new",0,0,0,0,0,0,0.056770317239588,0,0,0,0,0,0,0,0,0,0
"old",0,0,0,0,0,0,0.056770317239588,0,0,0,0,0,0,0,0,0,0
"raising",0,0,0,0,0,0,0.056770317239588,0,0,0,0,0,0,0,0,0,0
"responsibility",0,0,0,0,0,0,0.056770317239588,0,0,0,0,0,0,0,0,0,0
"rewarding",0,0,0,0,0,0,0.056770317239588,0,0,0,0,0,0,0,0,0,0
"see",0,0,0,0,0,0,0.0428814283506992,0,0,0.01744329288842,0,0,0,0,0,0,0
"seem",0,0,0,0,0,0,0.056770317239588,0,0,0,0,0,0,0,0,0,0
"shaping",0,0,0,0,0,0,0.056770317239588,0,0,0,0,0,0,0,0,0,0
"soontobe",0,0,0,0,0,0,0.056770317239588,0,0,0,0,0,0,0,0,0,0
"these",0,0,0,0,0,0,0.056770317239588,0,0,0,0,0,0,0,0,0,0
